week_start,week_end,week,month,year,theft,population_rate,education_rate,poverty_rate,inflation_rate,unemployment_rate,gdp,cpi
26/02/2024,03/03/2024,5,February,2024,,,,,,,,
04/03/2024,10/03/2024,1,March,2024,,,,,,,,
11/03/2024,17/03/2024,2,March,2024,,,,,,,,
18/03/2024,24/03/2024,3,March,2024,,,,,,,,
25/03/2024,31/03/2024,4,March,2024,,,,,,,,
01/04/2024,07/04/2024,1,April,2024,,,,,,,,
08/04/2024,14/04/2024,2,April,2024,,,,,,,,
15/04/2024,21/04/2024,3,April,2024,,,,,,,,
22/04/2024,28/04/2024,4,April,2024,,,,,,,,
29/04/2024,05/05/2024,1,May,2024,,,,,,,,
06/05/2024,12/05/2024,2,May,2024,,,,,,,,
13/05/2024,19/05/2024,3,May,2024,,,,,,,,
20/05/2024,26/05/2024,4,May,2024,,,,,,,,
27/05/2024,02/06/2024,5,May,2024,,,,,,,,
03/06/2024,09/06/2024,1,June,2024,,,,,,,,
10/06/2024,16/06/2024,2,June,2024,,,,,,,,
17/06/2024,23/06/2024,3,June,2024,,,,,,,,
24/06/2024,30/06/2024,4,June,2024,,,,,,,,
01/07/2024,07/07/2024,1,July,2024,,,,,,,,
08/07/2024,14/07/2024,2,July,2024,,,,,,,,
15/07/2024,21/07/2024,3,July,2024,,,,,,,,
22/07/2024,28/07/2024,4,July,2024,,,,,,,,
29/07/2024,04/08/2024,1,August,2024,,,,,,,,
05/08/2024,11/08/2024,2,August,2024,,,,,,,,
12/08/2024,18/08/2024,3,August,2024,,,,,,,,
19/08/2024,25/08/2024,4,August,2024,,,,,,,,
26/08/2024,01/09/2024,5,August,2024,,,,,,,,
02/09/2024,08/09/2024,1,September,2024,,,,,,,,
09/09/2024,15/09/2024,2,September,2024,,,,,,,,
16/09/2024,22/09/2024,3,September,2024,,,,,,,,
23/09/2024,29/09/2024,4,September,2024,,,,,,,,
